name,calories,fat,proteins,carbohydrate,Meal Type,Carb_Level,Protein_Level,Nutrient_Density
Oncom Merah Sayur (tumis) ,0.0396039603960396,0.02,0.0114285714285714,0.0046367851622874,3,Low-Carb,Low-Protein,-0.0993472375630668
Kacang Tunggak rempeyek,0.4465346534653465,0.2019999999999999,0.064,0.0922720247295208,1,High-Carb,High-Protein,-0.10240610109317475
Rempeyek kacang tolo,0.4465346534653465,0.2019999999999999,0.064,0.0922720247295208,1,High-Carb,High-Protein,-0.10240610109317475
Buah Naga Merah segar,0.0702970297029703,0.031,0.0097142857142857,0.014064914992272,4,Low-Carb,Low-Protein,-0.10271695129937898
Ikan Bader (Tawes),0.196039603960396,0.13,0.1085714285714285,0.0,2,Low-Carb,High-Protein,-0.10930680173225998
Soto padang masakan,0.1257425742574257,0.066,0.0337142857142857,0.017001545595054,3,Low-Carb,High-Protein,-0.12155029615565197
Pastel,0.3039603960396039,0.133,0.0257142857142857,0.065533230293663,4,High-Carb,Low-Protein,-0.13736114038182426
Mie Goreng ,0.4633663366336634,0.204,0.0434285714285714,0.0964451313755796,1,High-Carb,High-Protein,-0.13839192391445365
Susupan,0.0861386138613861,0.052,0.0302857142857142,0.0097372488408037,2,Low-Carb,High-Protein,-0.13904214723733577
Gambas lodeh,0.0128712871287128,0.006,0.0017142857142857,0.0024729520865533,3,Low-Carb,Low-Protein,-0.1408267373959885
Soto kudus masakan,0.0376237623762376,0.023,0.0148571428571428,0.0027820710973724,3,Low-Carb,Low-Protein,-0.14248026318089047
Kerupuk Udang ,0.3366336633663366,0.3,0.1714285714285714,0.080370942812983,4,High-Carb,High-Protein,-0.14318337059066402
Kacang Bogor goreng,0.4742574257425743,0.2319999999999999,0.0725714285714285,0.0910355486862442,1,High-Carb,High-Protein,-0.14421045368933663
Kecimpring singkong goreng,0.4594059405940594,0.186,0.0068571428571428,0.1128284389489953,1,High-Carb,Low-Protein,-0.14434788056991626
Kue ali,0.4356435643564356,0.185,0.0217142857142857,0.0996908809891808,0,High-Carb,Low-Protein,-0.14597871407044916
Keripik singkong berbumbu,0.4762376237623762,0.197,0.0125714285714285,0.1137557959814528,1,High-Carb,Low-Protein,-0.14839782394966258
Coto mangkasara kuda masakan,0.095049504950495,0.059,0.0388571428571428,0.0058732612055641,3,Low-Carb,High-Protein,-0.15012646113479472
Nasi gemuk,0.1900990099009901,0.088,0.0217142857142857,0.0377125193199381,1,High-Carb,Low-Protein,-0.15030612034506463
Karoket ,0.2891089108910891,0.1119999999999999,0.064,0.0043276661514683,4,Low-Carb,High-Protein,-0.1510578925292653
Wingko babat,0.3514851485148514,0.151,0.0182857142857142,0.0794435857805255,4,High-Carb,Low-Protein,-0.15155846157479358
Kerupuk udang goreng,0.4722772277227723,0.205,0.0268571428571428,0.1058732612055641,4,High-Carb,Low-Protein,-0.15302334872763895
Keripik kentang,0.4435643564356435,0.188,0.0154285714285714,0.1037094281298299,1,High-Carb,Low-Protein,-0.15524657064057668
Daging Sapi,0.2049504950495049,0.14,0.1074285714285714,0.0,3,Low-Carb,High-Protein,-0.15892262002558782
Dodol manado,0.3693069306930693,0.165,0.0245714285714285,0.0802163833075734,4,High-Carb,Low-Protein,-0.1630406041050883
Sapi daging lemak sedang segar,0.199009900990099,0.14,0.1074285714285714,0.0,3,Low-Carb,High-Protein,-0.16366655499463859
Susu Sapi,0.0603960396039603,0.035,0.0182857142857142,0.006646058732612,2,Low-Carb,Low-Protein,-0.16670067022645296
cumin seeds,0.0079207920792079,0.005,0.0022857142857142,0.0013910355486862,3,Low-Carb,Low-Protein,-0.16703924470230627
gushers fruit gushers,0.3564356435643564,0.06,0.0,0.0003091190108191,2,Low-Carb,Low-Protein,-0.16746561294112122
Teri balado masakan,0.3613861386138614,0.223,0.1354285714285714,0.0270479134466769,3,High-Carb,High-Protein,-0.16747556472788727
granola,0.2900990099009901,0.146,0.0468571428571428,0.0499227202472952,4,High-Carb,High-Protein,-0.16966609864081222
Kerupuk urat,0.5821782178217821,0.409,0.3068571428571429,0.0018547140649149,4,Low-Carb,High-Protein,-0.17226335122914435
Susu Kental Tak Manis,0.1366336633663366,0.079,0.04,0.0153013910355486,2,Low-Carb,High-Protein,-0.17344507155488156
alfalfa seeds,0.0009900990099009,0.00075,0.0005714285714285,3.0911901081916538e-06,4,Low-Carb,Low-Protein,-0.1770562140717451
Anak sapi daging gemuk segar,0.1821782178217821,0.14,0.1074285714285714,0.0,3,Low-Carb,High-Protein,-0.1787878384860111
Kerupuk Melinjo tipis goreng,0.4801980198019802,0.245,0.0657142857142857,0.0913446676970633,4,High-Carb,High-Protein,-0.18313458162600013
Roti boong,0.3376237623762376,0.162,0.0314285714285714,0.0669242658423493,1,High-Carb,High-Protein,-0.18851449840682322
Keripik singkong,0.4732673267326733,0.207,0.0051428571428571,0.1112828438948995,1,High-Carb,Low-Protein,-0.19138043652222791
Serimping talas kebumen,0.4732673267326733,0.212,0.0142857142857142,0.1069551777434312,1,High-Carb,Low-Protein,-0.19177093171950232
Oncom Hitam Goreng ,0.2811881188118812,0.144,0.0685714285714285,0.0210200927357032,4,Low-Carb,High-Protein,-0.19349425369929835
Kerupuk Udang berpati,0.3554455445544554,0.682,0.0982857142857142,0.5131375579598145,4,High-Carb,High-Protein,-0.19855792336633274
celery seeds,0.0247524752475247,0.016,0.0068571428571428,0.0041731066460587,4,Low-Carb,Low-Protein,-0.2007698089703774
Susu bubuk,0.5079207920792079,0.3,0.1405714285714285,0.0559505409582689,2,High-Carb,High-Protein,-0.2037282748722183
Sawo duren segar,0.0633663366336633,0.031,0.0057142857142857,0.0123647604327666,4,Low-Carb,Low-Protein,-0.20390558510681617
Rempeyek kacang uci,0.492079207920792,0.276,0.0971428571428571,0.078516228748068,1,High-Carb,High-Protein,-0.20391170482765356
Tepung Susu,0.503960396039604,0.3,0.1405714285714285,0.0559505409582689,2,High-Carb,High-Protein,-0.20532927974937734
Telur Terubuk,0.4207920792079208,0.28,0.1771428571428571,0.0154559505409582,3,Low-Carb,High-Protein,-0.2077058693092202
Sapi otak segar,0.1217821782178217,0.086,0.0594285714285714,0.0012364760432766,3,Low-Carb,High-Protein,-0.20803326780352074
Teripang dendeng mentah,0.4574257425742574,0.324,0.2234285714285714,0.0054095826893353,3,Low-Carb,High-Protein,-0.20803734680345018
Ceriping getuk singkong,0.4574257425742574,0.207,0.0068571428571428,0.1046367851622874,1,High-Carb,Low-Protein,-0.20878987407489757
Bebek daging goreng,0.297029702970297,0.207,0.1371428571428571,0.0069551777434312,3,Low-Carb,High-Protein,-0.21176923625973396
Kerupuk mie kuning goreng,0.4712871287128713,0.211,0.0005714285714285,0.1102009273570324,1,High-Carb,Low-Protein,-0.2126674489876702
Keripik lampung,0.4801980198019802,0.222,0.0097142857142857,0.1077279752704791,4,High-Carb,Low-Protein,-0.21773834327765124
Fillet o-fish,0.2673267326732673,0.159,0.0702857142857142,0.0298299845440494,3,High-Carb,High-Protein,-0.22027008040428733
Ikan Asin bilis goreng,0.3762376237623762,0.275,0.192,0.0,3,Low-Carb,High-Protein,-0.2206046768138854
Tahu goreng,0.1138613861386138,0.085,0.0554285714285714,0.0038639876352395,3,Low-Carb,High-Protein,-0.22577641140326515
Gulai ikan paya masakan,0.1465346534653465,0.098,0.0571428571428571,0.0077279752704791,3,Low-Carb,High-Protein,-0.22608264134501818
Ikan gete goreng,0.2643564356435643,0.1939999999999999,0.132,0.0003091190108191,3,Low-Carb,High-Protein,-0.2333616258570431
Telur Penyu,0.1425742574257426,0.102,0.0685714285714285,0.0,3,Low-Carb,High-Protein,-0.234462641219372
Naan maran sapi masakan,0.4732673267326733,0.3389999999999999,0.2188571428571428,0.0078825347758887,3,Low-Carb,High-Protein,-0.23720227200071833
Sate Bandeng,0.2801980198019802,0.168,0.0691428571428571,0.0323029366306027,3,High-Carb,High-Protein,-0.23752476462471145
Cap cai sayur,0.096039603960396,0.063,0.0331428571428571,0.0064914992272024,3,Low-Carb,High-Protein,-0.24328922004255332
Daging Domba,0.2039603960396039,0.148,0.0977142857142857,0.0,3,Low-Carb,High-Protein,-0.2465452544556527
Domba daging kurus  segar,0.2,0.148,0.0977142857142857,0.0,3,Low-Carb,High-Protein,-0.251427314292
Keripik tempe abadi sedang,0.504950495049505,0.2789999999999999,0.0702857142857142,0.0809891808346213,3,High-Carb,High-Protein,-0.2529452950072806
Kalio telur masakan,0.1910891089108911,0.124,0.0605714285714285,0.0149922720247295,3,Low-Carb,High-Protein,-0.25347360823593834
Kacang sukro,0.4792079207920792,0.261,0.0502857142857142,0.0891808346213292,1,High-Carb,High-Protein,-0.2536126641634202
Telur Ayam,0.1603960396039604,0.115,0.0731428571428571,0.001081916537867,3,Low-Carb,High-Protein,-0.25421433225921647
